loc_rowid,toi,tid,tfopwg_disp
1,1000.01,50365310,FP
2,1001.01,88863718,PC
3,1002.01,124709665,FP
4,1003.01,106997505,FP
5,1004.01,238597883,FP
6,1005.01,169904935,FP
7,1006.01,156115721,FP
8,1007.01,65212867,PC
9,1008.01,440801822,FP
10,1009.01,107782586,PC
11,101.01,231663901,KP
12,1010.01,139853601,FP
13,1011.01,114018671,PC
14,1012.01,427508467,APC
15,1013.01,97700520,FP
16,1014.01,96246348,FP
17,1015.01,155044736,FP
18,1016.01,175310067,FP
19,1017.01,182943944,FP
20,1018.01,291555748,FP
21,1019.01,341420329,PC
22,102.01,149603524,KP
23,1020.01,140706664,FP
24,1021.01,143994283,FP
25,1022.01,47384844,FA
26,1023.01,238374636,FP
27,1024.01,141482386,FP
28,1025.01,297967252,FP
29,1026.01,388624270,FP
30,1027.01,20318757,PC
31,1027.02,20318757,PC
32,1027.03,20318757,PC
33,1028.01,447283466,FP
34,1029.01,374908020,FP
35,103.01,336732616,KP
36,1030.01,464296022,FP
37,1031.01,304021498,FP
38,1032.01,146589986,PC
39,1033.01,149601557,FP
40,1034.01,400595342,FP
41,1035.01,361413119,PC
42,1036.01,146172354,PC
43,1037.01,363260203,FP
44,1038.01,90544017,FP
45,1039.01,461867584,APC
46,104.01,231670397,KP
47,1040.01,310483807,FP
48,1041.01,385624852,FP
49,1042.01,360286627,FP
50,1043.01,90448944,FP
51,1044.01,463402815,PC
52,1045.01,54044474,FP
53,1046.01,309787037,FP
54,1047.01,370745311,FP
55,1048.01,384549882,FP
56,1049.01,16288184,KP
57,105.01,144065872,KP
58,1050.01,66818296,KP
59,1051.01,259863352,FA
60,1052.01,317060587,CP
61,1053.01,112395568,FP
62,1054.01,366989877,CP
63,1055.01,320004517,CP
64,1056.01,421894914,PC
65,1057.01,323132914,PC
66,1058.01,31553893,PC
67,1059.01,380783252,PC
68,106.01,38846515,KP
69,1060.01,101230735,APC
70,1061.01,253990973,FP
71,1062.01,299799658,CP
72,1063.01,406976746,PC
73,1064.01,79748331,CP
74,1064.02,79748331,CP
75,1065.01,7088246,KP
76,1066.01,201604954,KP
77,1067.01,201642601,KP
78,1068.01,6663331,KP
79,1069.01,31858843,KP
80,107.01,92352620,KP
81,1070.01,31858844,FP
82,1071.01,120247528,KP
83,1072.01,140830390,FP
84,1073.01,158297421,CP
85,1074.01,327301957,PC
86,1075.01,351601843,CP
87,1076.01,360742636,KP
88,1077.01,369960846,PC
89,1078.01,370133522,CP
90,1079.01,379240073,PC
91,108.01,289793076,KP
92,1080.01,161032923,CP
93,1081.01,253728991,PC
94,1082.01,261108236,PC
95,1083.01,322270620,PC
96,1084.01,380589029,KP
97,1085.01,381979901,APC
98,1086.01,468148930,PC
99,1087.01,426077080,FP
100,1088.01,343648136,FA
101,1089.01,129319156,FP
102,109.01,29344935,KP
103,1090.01,361034196,FP
104,1091.01,193413306,PC
105,1092.01,387079085,FP
106,1093.01,382331352,FP
107,1094.01,136274063,APC
108,1095.01,375223080,PC
109,1096.01,375225453,FP
110,1097.01,360630575,CP
111,1097.02,360630575,CP
112,1098.01,383390264,CP
113,1099.01,290348383,CP
114,110.01,281459670,KP
115,1100.01,318608749,FP
116,1101.01,271581073,FP
117,1102.01,311890977,FP
118,1103.01,351603103,PC
119,1104.01,451599528,FP
120,1105.01,274151135,PC
121,1106.01,384513078,PC
122,1107.01,394561119,CP
123,1108.01,295599256,FP
124,1109.01,50309953,FP
125,111.01,355703913,KP
126,1110.01,446549905,FP
127,1111.01,412014494,FP
128,1112.01,369864738,FP
129,1113.01,290348382,FP
130,1114.01,409934330,APC
131,1115.01,379286801,APC
132,1116.01,304100538,PC
133,1117.01,295541511,PC
134,1118.01,90919952,FP
135,1119.01,261369656,APC
136,112.01,388104525,KP
137,1120.01,143257766,FP
138,1121.01,24094603,FP
139,1122.01,304774444,FP
140,1123.01,469782185,APC
141,1124.01,128790976,APC
142,1125.01,80166433,PC
143,1126.01,405862830,FP
144,1127.01,269450900,FP
145,1128.01,425721385,FP
146,1129.01,91576611,FP
147,113.01,97409519,KP
148,1130.01,254113311,CP
149,1130.02,254113311,CP
150,1131.01,198213332,PC
151,1132.01,267489265,FP
152,1133.01,69997672,FP
153,1134.01,122220263,FP
154,1135.01,154872375,CP
155,1136.01,142276270,CP
156,1136.02,142276270,CP
157,1136.03,142276270,CP
158,1136.04,142276270,CP
159,1137.01,89389197,PC
160,1138.01,110428269,FP
161,1139.01,202563254,PC
162,114.01,25155310,KP
163,1140.01,320525204,FP
164,1141.01,159510109,FP
165,1142.01,284450803,FP
166,1143.01,160268701,FP
167,1144.01,28230919,KP
168,1145.01,350995812,FP
169,1146.01,21755546,FP
170,1147.01,288391628,FP
171,1148.01,349827430,KP
172,1149.01,117789567,APC
173,115.01,281541555,KP
174,1150.01,16740101,KP
175,1151.01,69679391,KP
176,1152.01,237184773,FA
177,1153.01,154840461,APC
178,1154.01,459970307,PC
179,1155.01,161450762,FP
180,1156.01,117256577,FP
181,1157.01,147576037,FP
182,1158.01,379931600,FP
183,1159.01,48188920,FP
184,116.01,238176110,KP
185,1160.01,89510024,FP
186,1161.01,158324245,KP
187,1162.01,13419950,PC
188,1163.01,375542276,PC
189,1164.01,16102323,FP
190,1165.01,458478250,KP
191,1166.01,138361973,FP
192,1167.01,232967666,FP
193,1168.01,41330864,FP
194,1169.01,302518439,PC
195,117.01,322307342,KP
196,1170.01,294176967,FP
197,1171.01,101929303,FP
198,1172.01,1717732429,FP
199,1173.01,232967440,CP
200,1174.01,154089169,CP
201,1175.01,30329585,FP
202,1176.01,230088370,PC
203,1177.01,169177766,FP
204,1178.01,359496368,FP
205,1179.01,148914726,APC
206,118.01,266980320,CP
207,1180.01,158002130,CP
208,1181.01,229510866,CP
209,1182.01,341544930,FP
210,1183.01,258777137,FP
211,1184.01,233087860,CP
212,1185.01,83210867,FP
213,1186.01,289539327,FP
214,1187.01,372757221,PC
215,1188.01,15247229,FP
216,1189.01,112026224,PC
217,119.01,278683844,PC
218,119.02,278683844,PC
219,1190.01,287196418,APC
220,1191.01,237185205,FP
221,1192.01,158276040,APC
222,1193.01,89643259,FP
223,1194.01,147950620,CP
224,1195.01,24364065,FP
225,1196.01,69068526,PC
226,1197.01,92677094,PC
227,1198.01,203189770,KP
228,1199.01,99869022,CP
229,120.01,394137592,CP
230,1200.01,288185138,FP
231,1201.01,29960110,CP
232,1202.01,327017634,FP
233,1203.01,23434737,CP
234,1204.01,467666275,PC
235,1205.01,287776397,PC
236,1206.01,308034948,FP
237,1207.01,364393429,PC
238,1208.01,273985865,PC
239,1208.02,273985865,PC
240,1208.03,273985865,PC
241,1209.01,30037565,PC
242,121.01,207081058,APC
243,1210.01,33878688,FP
244,1211.01,50312495,PC
245,1212.01,389924075,PC
246,1213.01,399144800,FP
247,1214.01,451606970,PC
248,1215.01,453260209,PC
249,1216.01,141527965,PC
250,1217.01,248092710,PC
251,1218.01,294781547,PC
252,1219.01,294981566,PC
253,122.01,231702397,CP
254,1220.01,319259194,APC
255,1221.01,349095149,CP
256,1222.01,374997123,PC
257,1223.01,382437043,FP
258,1224.01,299798795,CP
259,1224.02,299798795,CP
260,1225.01,150428703,PC
261,1225.02,150428703,PC
262,1226.01,177115354,PC
263,1227.01,360156606,CP
264,1228.01,300038935,CP
265,1229.01,140760434,APC
266,123.01,290131778,CP
267,1230.01,287156968,CP
268,1231.01,447061717,CP
269,1232.01,364395234,CP
270,1233.01,260647166,CP
271,1233.02,260647166,CP
272,1233.03,260647166,CP
273,1233.04,260647166,CP
274,1234.01,90504905,FP
275,1235.01,103633434,CP
276,1236.01,120757718,KP
277,1237.01,120960812,KP
278,1237.02,120960812,KP
279,1238.01,153951307,CP
280,1238.02,153951307,CP
281,1239.01,154716798,PC
282,124.01,29831208,APC
283,1240.01,158170594,KP
284,1241.01,159107668,PC
285,1242.01,198212955,PC
286,1243.01,219698776,CP
287,1244.01,219850915,CP
288,1245.01,229781583,PC
289,1246.01,230127302,CP
290,1246.02,230127302,CP
291,1246.03,230127302,CP
292,1246.04,230127302,CP
293,1247.01,232540264,CP
294,1248.01,232612416,CP
295,1249.01,232976128,CP
296,125.01,52368076,CP
297,125.02,52368076,CP
298,125.03,52368076,CP
299,125.04,52368076,PC
300,1250.01,233059608,FA
301,1251.01,233120979,APC
302,1252.01,233211762,PC
303,1253.01,233684822,FP
304,1254.01,236714379,APC
305,1255.01,237222864,CP
306,1256.01,274762761,FP
307,1257.01,278348461,KP
308,1258.01,288132261,PC
309,1259.01,288735205,CP
310,126.01,70440470,KP
311,1260.01,355867695,CP
312,1260.02,355867695,CP
313,1260.03,355867695,CP
314,1261.01,356311210,PC
315,1262.01,365938305,PC
316,1263.01,406672232,PC
317,1264.01,416195870,PC
318,1265.01,424865156,KP
319,1266.01,467179528,CP
320,1266.02,467179528,CP
321,1267.01,158561566,KP
322,1268.01,142394656,CP
323,1269.01,198241702,CP
324,1269.02,198241702,PC
325,127.01,234523599,CP
326,1270.01,237200747,FP
327,1271.01,286923464,KP
328,1272.01,417948359,CP
329,1273.01,445859771,CP
330,1274.01,459969957,PC
331,1275.01,13499636,FA
332,1276.01,43064903,FA
333,1277.01,153949511,FA
334,1277.02,153949511,PC
335,1278.01,163539739,CP
